num,Ctrl,VPA
1,0.10246344,0.027359663
2,0.14398581,0.35038075
3,0.2533062,0.2215326
4,0.17478813,0.3754163
5,0.17576651,0.3267557
6,0.18543498,0.26174098
7,0.3185137,0.44728106
8,0.11244803,0.36891603
9,0.118840836,0.22997926
10,0.098315366,0.19918764
11,0.20458756,0.3475676
12,0.17243569,0.40795204
13,0.14773747,0.27666244
14,0.18374276,0.18520342
15,0.26355317,0.35133383
16,0.1522188,0.338852
17,0.17582063,0.331484
18,0.20377065,0.37824312
19,0.17429183,0.3949111
20,0.14062376,0.05433753
21,0.26082602,0.46725026
22,0.12877578,0.35896894
23,0.17118554,0.3706571
24,0.15263286,0.29923967
25,0.17784613,0.4198431
26,0.15514877,0.2976201
27,0.24696626,0.40008155
28,0.1974626,0.48743206
29,0.3033917,0.27631986
30,0.12639691,0.43949354
31,0.16831382,0.35245687
32,0.16133305,0.3066449
33,0.09490861,0.15935746
34,0.20927875,0.36977443
35,0.2558709,0.3528828
36,0.22124673,0.31287244
37,0.14809513,0.33291963
38,0.1452365,0.41306236
39,0.18138546,0.3428151
40,0.15401818,0.35686675
41,0.25360522,0.4466733
42,0.2211225,0.0045834496
43,0.21055327,0.19871315
44,0.18338102,0.46821693
45,0.18120651,0.2865418
46,0.16281304,0.28681135
47,0.21920916,0.27394807
48,0.14895058,0.4181252
49,0.22890213,0.38133007
50,0.110080354,0.31797418
51,0.1625585,0.35063338
52,0.14344038,0.5201001
53,0.24464908,0.33274558
54,0.1894752,0.29058337
55,0.19770384,0.32952815
56,0.17345884,0.25266677
57,0.1779659,0.32131147
58,0.14826879,0.4376482
59,0.20593944,0.28501287
60,0.2588465,0.006226575
61,0.18342389,0.4561722
62,0.17640449,0.18433602
63,0.14955191,0.42765352
64,0.24743721,0.33423555
65,0.19019128,0.38109407
66,0.16669779,0.40104842
67,0.118545845,0.44469965
68,0.14914432,0.16012585
69,0.21999632,0.3663948
70,0.19858779,0.39075035
71,0.16617656,0.47091538
72,0.120357946,0.45157507
73,0.22619371,0.49525106
74,0.19461685,0.41611254
75,0.12119268,0.39211774
76,0.17509636,0.4715505
77,0.15078339,0.32950467
78,0.1633417,0.03415223
79,0.20697445,0.13028607
80,0.23129365,0.27651054
81,0.16682102,0.40380523
82,0.15602817,0.4427177
83,0.14497292,0.12098814
84,0.27587134,0.43060955
