num,Ctrl,VPA
1,0.099103734,0.40330383
2,0.09611716,0.3833997
3,0.15042788,0.38997528
4,0.10472177,0.3266093
5,0.17883056,0.38847327
6,0.12343796,0.3046278
7,0.21510981,0.36304444
8,0.12800576,0.38509056
9,0.20985293,0.3388122
10,0.060521998,0.38955373
11,0.0909583,0.27768847
12,0.102298,0.35315698
13,0.12252413,0.3306789
14,0.07778758,0.18373159
15,0.15282564,0.3545141
16,0.078449056,0.31319246
17,0.13737324,0.35772184
18,0.08388724,0.38768408
19,0.079029955,0.27028847
20,0.10976794,0.406899
21,0.15792502,0.45469067
22,0.13368016,0.31075513
23,0.05691794,0.3678312
24,0.16468164,0.3542905
25,0.1331081,0.29857057
26,0.10606487,0.29334846
27,0.14668481,0.3838856
28,0.13760766,0.42981517
29,0.10530439,0.30303037
30,0.09462076,0.38722357
31,0.09668482,0.298274
32,0.13849129,0.28498706
33,0.12140961,0.21437271
34,0.13396464,0.3630444
35,0.1329338,0.42064118
36,0.19211552,0.33165497
37,0.08091042,0.24939007
38,0.13935551,0.36642504
39,0.09408604,0.32927015
40,0.06813895,0.4993396
41,0.13490404,0.3641528
42,0.1357495,0.43847632
43,0.14000224,0.20040073
44,0.11996591,0.39308894
45,0.11935613,0.37066922
46,0.0920764,0.36042956
47,0.10932425,0.31476393
48,0.09716482,0.39383256
49,0.12743036,0.36703998
50,0.11697042,0.42224094
51,0.15732883,0.3070741
52,0.13375221,0.4748195
53,0.22256957,0.27662146
54,0.15278812,0.3461785
55,0.07731409,0.30945438
56,0.14089912,0.31492436
57,0.16626343,0.19926211
58,0.1346337,0.39384875
59,0.1584616,0.30992186
60,0.09302734,0.4954503
61,0.11408407,0.4471688
62,0.1708501,0.11329353
63,0.083323345,0.3261876
64,0.09903074,0.4024567
65,0.13048403,0.29623196
66,0.100803934,0.2939345
67,0.115902945,0.39319324
68,0.09417325,0.37683082
69,0.08454747,0.3649622
70,0.11360995,0.36097807
71,0.09884262,0.43828356
72,0.1031432,0.31512412
73,0.09853471,0.34281984
74,0.10806143,0.29135978
75,0.12936762,0.41187227
76,0.115701064,0.24088694
77,0.12664658,0.432981
78,0.16068983,0.3842394
79,0.108564764,0.28286794
80,0.08685586,0.3851007
81,0.08829552,0.35134068
82,0.1309395,0.44034633
83,0.07425495,0.22393864
84,0.12465395,0.32458106
85,0.13369583,0.24242906
86,0.14250031,0.4112026
87,0.09760299,0.41736302
88,0.039843753,0.4527705
89,0.124968134,0.26803744
90,0.10921033,0.42210862
91,0.10726698,0.4707258
92,0.16813189,0.40305537
93,0.10378344,0.45567724
94,0.17044005,0.30805746
95,0.18352091,0.43741304
96,0.11528804,0.34973776
97,0.10394113,0.28375593
98,0.117102265,0.3675156
99,0.122058935,0.52359605
100,0.09872571,0.44210687
101,0.1433048,0.37864175
102,0.106703326,0.3124591
103,0.08739719,0.40359437
104,0.14918956,0.40891328
105,0.112698376,0.349867
106,0.17228562,0.44644788
107,0.16722158,0.30941272
108,0.17006817,0.4314683
109,0.13947095,0.33021817
110,0.07350421,0.40640447
111,0.12100588,0.3133916
112,0.14854021,0.12902841
113,0.07183229,0.40791836
114,0.1002008,0.42660022
115,0.14545749,0.37075984
116,0.12295583,0.25643864
117,0.08299361,0.41988653
118,0.14074011,0.50508547
119,0.038654853,0.40426072
120,0.17994538,0.3401332
121,0.11034939,0.4708796
122,0.17788641,0.17159791
123,0.18234444,0.20920107
124,0.15019023,0.30295694
125,0.08858209,0.28288904
126,0.14530338,0.46565518
127,0.11734309,0.24195537
128,0.099892266,0.17457181
129,0.07937912,0.14703989
130,0.11901451,0.28675264
131,0.13462847,0.31432816
132,0.13961565,0.25028196
133,0.17387924,0.416921
134,0.14607693,0.36350513
135,0.1452434,0.30889213
136,0.1329491,0.23102197
137,0.14289752,0.40835124
138,0.2353385,0.33879125
139,0.109986484,0.42688403
