num,Ctrl,VPA
1,0.1755762,0.24306928
2,0.24893709,0.21657409
3,0.32679853,0.2878365
4,0.2774014,0.25460744
5,0.17881848,0.15357278
6,0.38740402,0.2607155
7,0.37942702,0.20285726
8,0.28318688,0.22080903
9,0.1766478,0.2457767
10,0.28535768,0.24580452
11,0.2875379,0.18292327
12,0.34097698,0.2170424
13,0.24645191,0.25398347
14,0.30496687,0.25621915
15,0.36091134,0.3146955
16,0.34579572,0.22293864
17,0.34972358,0.2118213
18,0.37171477,0.18270858
19,0.4111255,0.25985444
20,0.24044931,0.24793226
21,0.353964,0.24787956
22,0.30293363,0.31527254
23,0.20105633,0.23122165
24,0.21896142,0.22240208
25,0.35778597,0.2627283
26,0.3005016,0.23144794
27,0.31133273,0.26686144
28,0.3384348,0.21441315
29,0.3877662,0.30021054
30,0.32375008,0.24531226
31,0.32221138,0.27639762
32,0.34107888,0.25779217
33,0.25191382,0.24266788
34,0.25232026,0.29706636
35,0.34648618,0.3127841
36,0.29462463,0.25591594
37,0.34490985,0.29770982
38,0.24004452,0.27148783
39,0.26469657,0.29396984
40,0.21894106,0.3341952
41,0.33449498,0.32256246
42,0.25836757,0.274981
43,0.3090449,0.25251845
44,0.30963182,0.27188528
45,0.21868734,0.26612523
46,0.21201766,0.25693387
47,0.34390813,0.19543046
48,0.27030596,0.28923622
49,0.2866229,0.24468729
50,0.23763233,0.27095845
51,0.28994825,0.24648541
52,0.27579114,0.22680539
53,0.30340582,0.28177685
54,0.24205826,0.26650825
55,0.248473,0.2356098
56,0.31179798,0.22979878
57,0.25490054,0.23952048
58,0.20909753,0.16803114
59,0.30875888,0.26768658
60,0.30392724,0.21242458
61,0.32228583,0.22862586
62,0.3379711,0.23754334
63,0.21456575,0.29278803
64,0.25568333,0.19030376
65,0.26631588,0.21861653
66,0.3327848,0.24804641
67,0.18505697,0.22229508
68,0.29133925,0.33253005
69,0.29214942,0.14402527
70,0.29465598,0.25279403
71,0.19346449,0.19976746
72,0.22028255,0.29412323
73,0.4291818,0.19860734
74,0.39090115,0.31090298
75,0.19477354,0.25381863
76,0.30399773,0.28519383
77,0.22776969,0.21545158
78,0.20380548,0.19626237
79,0.22989579,0.24167229
80,0.3413951,0.2917898
81,0.24460725,0.29234043
82,0.39362535,0.2662903
83,0.23532188,0.29056254
84,0.40938076,0.30055314
85,0.30364668,0.21309519
86,0.31079057,0.17479318
87,0.29244363,0.27668604
88,0.26185253,0.23604627
89,0.194318,0.29433444
90,0.2507607,0.24540192
91,0.2655714,0.272979
92,0.1735798,0.26610678
93,0.22101477,0.27922645
94,0.4126624,0.24503145
95,0.3465949,0.18732879
96,0.28970006,0.3081469
97,0.25375488,0.30296856
98,0.26244804,0.21332571
99,0.221427,0.21828881
100,0.29816633,0.27888095
101,0.22774367,0.21067838
102,0.2721327,0.2509837
103,0.23617567,0.15579766
104,0.22123267,0.25824857
105,0.27525827,0.2962235
106,0.31177226,0.3132592
107,0.24250463,0.29200447
108,0.41570118,0.21604279
109,0.27506474,0.23200034
110,0.18872327,0.27937028
111,0.24497804,0.21226206
112,0.25958085,0.28017902
113,0.2841919,0.12680279
114,0.27286384,0.20149788
115,0.22017467,0.19316195
116,0.2877101,0.23601784
117,0.29822806,0.27446288
118,0.2708868,0.2136241
119,0.2889475,0.2180827
120,0.46156067,0.25997114
121,0.3256452,0.30842504
122,0.3628933,0.26420534
123,0.2790244,0.26435503
124,0.36161762,0.28981304
125,0.3036394,0.22814983
126,0.2550941,0.24776788
127,0.230989,0.20928806
128,0.27012777,0.17289661
129,0.27742326,0.20547138
130,0.34443608,0.31132302
131,0.22535616,0.25814268
132,0.22301729,0.30536568
133,0.34547552,0.2762652
134,0.24807768,0.23047908
135,0.23519789,0.23019534
136,0.34860983,0.21428613
137,0.3544031,0.25851786
138,0.25060916,0.22312957
139,0.34530568,0.20326966
140,0.21540435,0.19959159
141,0.30121407,0.2525726
142,0.23971657,0.2764958
143,0.2897672,0.2676313
144,0.344655,0.3030354
145,0.2209656,0.23825157
146,0.34223747,0.23044127
147,0.32314208,0.31027427
148,0.22436576,0.19550046
149,0.34350908,0.2964028
150,0.30932713,0.20829168
151,0.32272032,0.26183084
152,0.28729188,0.258572
153,0.2689543,0.24048859
154,0.24779172,0.24855325
