num,Ctrl,VPA
1,0.1870809,0.26477882
2,0.16096033,0.22013983
3,0.31775492,0.17922312
4,0.13005084,0.16415423
5,0.26471406,0.21126735
6,0.22644438,0.26588815
7,0.35413864,0.19401695
8,0.17246734,0.18116266
9,0.27120352,0.2025576
10,0.12559307,0.17037521
11,0.21900223,0.16482024
12,0.14416684,0.1466999
13,0.23477013,0.19714275
14,0.15068854,0.16809395
15,0.22170696,0.18359286
16,0.14066517,0.16299698
17,0.23355393,0.2695286
18,0.16405173,0.18071996
19,0.19133678,0.17790195
20,0.2051405,0.16433649
21,0.19764851,0.192462
22,0.18715285,0.22780952
23,0.095023066,0.19366476
24,0.22812356,0.1264071
25,0.2269795,0.17490402
26,0.15092783,0.13134629
27,0.2643384,0.15528233
28,0.18106641,0.18059261
29,0.16342886,0.19696905
30,0.24300788,0.13838926
31,0.1921206,0.18694134
32,0.20071456,0.27605206
33,0.24095708,0.25083095
34,0.16364871,0.09737095
35,0.23286201,0.14521192
36,0.21687683,0.3418363
37,0.17233348,0.19352329
38,0.26064336,0.14956577
39,0.16049217,0.20831339
40,0.11161766,0.33346573
41,0.20990694,0.29119077
42,0.22525162,0.13531004
43,0.2443836,0.2491186
44,0.21403064,0.27749008
45,0.19840072,0.18323858
46,0.11958016,0.2214633
47,0.16081728,0.2433683
48,0.15091634,0.2838712
49,0.2102725,0.19755979
50,0.19509512,0.17047356
51,0.28472912,0.15149295
52,0.17840147,0.24523279
53,0.27607656,0.270447
54,0.20736021,0.14258546
55,0.14367357,0.12830095
56,0.2624209,0.26193988
57,0.218661,0.24966
58,0.20931365,0.13798966
59,0.2201874,0.18885247
60,0.1510101,0.16026019
61,0.20916514,0.23911947
62,0.25776815,0.2521316
63,0.1871204,0.19249716
64,0.12164761,0.15301716
65,0.1981647,0.26127678
66,0.18124181,0.17123134
67,0.20876844,0.16212156
68,0.1706209,0.17042297
69,0.2151383,0.2249014
70,0.1958548,0.21358183
71,0.16401784,0.25072291
72,0.3096698,0.26700458
73,0.2850695,0.20546064
74,0.23239376,0.2048798
75,0.23232052,0.28165257
76,0.18717459,0.1870905
77,0.20024161,0.19610909
78,0.2155164,0.14559165
79,0.26892355,0.1848206
80,0.1680722,0.23254597
81,0.15688697,0.1835601
82,0.25567132,0.19873151
83,0.10537738,0.33706513
84,0.19946107,0.23662116
85,0.18450025,0.12125098
86,0.24746998,0.17427333
87,0.16177304,0.21272285
88,0.1156732,0.2308114
89,0.28039002,0.22412705
90,0.1735081,0.28214154
91,0.17991687,0.11189204
92,0.26119497,0.23939562
93,0.18171538,0.16302912
94,0.24408345,0.20710297
95,0.32053715,0.24762873
96,0.20100348,0.2203447
97,0.18198538,0.2674894
98,0.2160222,0.14478837
99,0.19678074,0.21051604
100,0.19642793,0.16283497
101,0.1899926,0.17982526
102,0.19235875,0.16701908
103,0.17763391,0.17896102
104,0.20933755,0.25523743
105,0.19343548,0.26539838
106,0.23009941,0.24587776
107,0.20240189,0.14449671
108,0.2949988,0.22778718
109,0.18712784,0.21884586
110,0.093428,0.19815521
111,0.17677794,0.17466214
112,0.19535403,0.064143434
113,0.13900912,0.25485057
114,0.18373238,0.1727546
115,0.21112165,0.22613329
116,0.15671265,0.16389671
117,0.17782265,0.21103762
118,0.21465115,0.32835338
119,0.10394812,0.13525622
120,0.32794863,0.2356346
121,0.14481774,0.29333693
122,0.22862306,0.31308433
123,0.25621355,0.26495305
124,0.24162365,0.17059031
125,0.21238284,0.19245967
126,0.22422151,0.25064698
127,0.17318912,0.10392576
128,0.17874779,0.16919401
129,0.15833606,0.18291104
130,0.26032832,0.17528096
131,0.23028328,0.15903457
132,0.16318777,0.16307674
133,0.21977443,0.2120141
134,0.22449575,0.15706782
135,0.20722134,0.20639943
136,0.18026581,0.2741279
137,0.22225446,0.22175346
138,0.3134281,0.21964434
139,0.18702602,0.14292796
140,0.23163766,0.17634633
141,0.16935906,0.16143765
142,0.22571732,0.17330582
143,0.27212077,0.2824979
144,0.22473769,0.20666198
145,0.2221696,0.2877413
146,0.19309016,0.24297059
147,0.16445363,0.2062912
148,0.21484217,0.20710962
149,0.21035266,0.18199551
