num,Ctrl,VPA
1,0.12675075,0.19859576
2,0.16010721,0.14569698
3,0.1572235,0.250716
4,0.20791359,0.20251982
5,0.10075918,0.093000546
6,0.23911895,0.2288911
7,0.18662505,0.17700353
8,0.20805949,0.19176945
9,0.0759818,0.15389906
10,0.22463492,0.17289865
11,0.17576836,0.12757012
12,0.26861852,0.18123884
13,0.17167489,0.20958588
14,0.19798498,0.16756032
15,0.183733,0.2773228
16,0.23941474,0.19325209
17,0.24123083,0.13001741
18,0.3139284,0.15485162
19,0.25580487,0.17197669
20,0.19912621,0.2012402
21,0.19135205,0.19641243
22,0.24604288,0.20767632
23,0.11735627,0.21185887
24,0.17241094,0.18107046
25,0.24079034,0.2297298
26,0.2181988,0.11575423
27,0.14800832,0.20006824
28,0.16879806,0.14244497
29,0.28199384,0.2509909
30,0.25260463,0.21774216
31,0.25821736,0.18859366
32,0.24263452,0.23009418
33,0.1991072,0.16643101
34,0.18071789,0.18164425
35,0.22825302,0.2502838
36,0.114117935,0.17045826
37,0.28505868,0.2674285
38,0.15067938,0.1921311
39,0.16903685,0.213485
40,0.12680748,0.28321642
41,0.25253862,0.23851545
42,0.15259582,0.22753982
43,0.15245563,0.16657555
44,0.24038509,0.17352284
45,0.14519443,0.2489579
46,0.15723284,0.23392354
47,0.15893506,0.14371283
48,0.2109481,0.20962492
49,0.22186601,0.20848307
50,0.16095112,0.23032427
51,0.19151509,0.204687
52,0.22589652,0.1429311
53,0.1211977,0.22651403
54,0.15419203,0.2218349
55,0.19955349,0.21720992
56,0.24595566,0.1978785
57,0.17381476,0.17855133
58,0.12986673,0.14350286
59,0.24108398,0.23263821
60,0.19132385,0.157188
61,0.22561489,0.173044
62,0.19941668,0.1465659
63,0.13821529,0.21981283
64,0.1914891,0.15713152
65,0.16784015,0.13096122
66,0.24691115,0.21097583
67,0.13160542,0.20154549
68,0.24041873,0.22446941
69,0.18467784,0.11508265
70,0.15661108,0.19589323
71,0.13591677,0.1108468
72,0.11667766,0.25063816
73,0.31095836,0.15397127
74,0.280499,0.2550291
75,0.094594054,0.17558637
76,0.19134839,0.26111087
77,0.12502909,0.16111912
78,0.13917828,0.16898605
79,0.1214115,0.22714427
80,0.26142842,0.24812844
81,0.1739845,0.22942713
82,0.3271641,0.1896324
83,0.14655632,0.25611585
84,0.3002439,0.15013346
85,0.23313043,0.18917987
86,0.19932355,0.15703943
87,0.22326012,0.25175425
88,0.21427882,0.20086221
89,0.12923379,0.21251717
90,0.16698997,0.18855289
91,0.20969415,0.22779125
92,0.108316526,0.16403617
93,0.12813352,0.20479149
94,0.305744,0.16660605
95,0.12949532,0.123269424
96,0.23691978,0.16226862
97,0.2099006,0.27232093
98,0.20028205,0.18755735
99,0.1346846,0.16994537
100,0.20407327,0.24132493
101,0.14767526,0.14221676
102,0.2164707,0.14075506
103,0.17681177,0.13896886
104,0.14891544,0.23540835
105,0.2150032,0.25021338
106,0.18797693,0.286769
107,0.18430753,0.2521155
108,0.3168202,0.1680079
109,0.13876565,0.14400506
110,0.11947654,0.23708461
111,0.1671316,0.18397456
112,0.17238511,0.24280481
113,0.2221196,0.07391608
114,0.13321023,0.15852171
115,0.11187091,0.15442145
116,0.22032747,0.22113347
117,0.10715457,0.17724834
118,0.13989362,0.19588168
119,0.13942476,0.19670124
120,0.20098327,0.19030152
121,0.12266278,0.27150527
122,0.24610867,0.23264128
123,0.17491373,0.17265157
124,0.30507267,0.18637812
125,0.23633583,0.17701565
126,0.21231146,0.22216411
127,0.1794096,0.13027868
128,0.2291523,0.08233596
129,0.21837726,0.13135527
130,0.21611324,0.17694765
131,0.14878802,0.24329454
132,0.16362135,0.26130167
133,0.23168747,0.20217359
134,0.16558929,0.16685046
135,0.12941347,0.1746827
136,0.24492483,0.13836919
137,0.17947161,0.20011465
138,0.19312537,0.1835507
139,0.23646256,0.1818182
140,0.13269767,0.17351618
141,0.20998448,0.17404225
142,0.11914003,0.2326558
143,0.20040283,0.24085553
144,0.24417259,0.25136504
145,0.17429882,0.196573
146,0.19395636,0.24029781
147,0.2597295,0.26147857
148,0.16970567,0.18221591
149,0.20348594,0.2578561
150,0.17288262,0.17580448
151,0.19422148,0.14538416
152,0.22996044,0.23546769
153,0.16164969,0.16298175
154,0.103495136,0.20790456
155,0.19894294,0.23605788
156,0.081832536,0.12440473
157,0.28185976,0.26246434
158,0.17035152,0.14542665
159,0.25442156,0.27057773
160,0.09069856,0.25192153
161,0.21319711,0.22642924
162,0.22937517,0.25756776
163,0.1946795,0.1996334
164,0.21180311,0.19030291
165,0.14366364,0.20317988
166,0.20604217,0.14055054
167,0.16912867,0.12581672
168,0.11701706,0.24213201
169,0.17312552,0.11752675
170,0.19548774,0.22970693
171,0.2561212,0.17476211
172,0.20734297,0.18947448
173,0.16051134,0.12439487
174,0.32297534,0.19143583
175,0.24829514,0.14645441
176,0.2106709,0.07504966
177,0.13630378,0.22378755
178,0.15681468,0.22848316
179,0.16124544,0.20700113
180,0.14627095,0.1079636
181,0.20641296,0.2391989
182,0.21373561,0.15775917
183,0.13052286,0.2221426
184,0.2647381,0.1687776
185,0.20290679,0.2166353
186,0.18489933,0.16446015
187,0.1749718,0.1208614
188,0.30516496,0.19986881
189,0.18544662,0.19701107
190,0.18979162,0.13229425
191,0.2910178,0.1782787
192,0.18810986,0.11959555
193,0.18536422,0.13756736
194,0.2755043,0.1806821
195,0.13994421,0.13884282
196,0.16454133,0.114268705
197,0.1558942,0.14213684
198,0.19870885,0.16633642
199,0.19904566,0.23820958
200,0.1915703,0.13141386
201,0.1345122,0.21754545
202,0.1792429,0.2256206
