num,Ctrl,VPA
1,0.055099383,0.019309722
2,0.07440702,0.20369807
3,0.09704229,0.16660853
4,0.1121588,0.26190504
5,0.086371146,0.17470936
6,0.0961293,0.20429961
7,0.12877995,0.34442323
8,0.07364698,0.272339
9,0.044364482,0.1289218
10,0.05082098,0.121064626
11,0.10986532,0.22027202
12,0.11181135,0.2886426
13,0.07691257,0.19739227
14,0.11021354,0.11151648
15,0.11419519,0.26745033
16,0.086767495,0.26143458
17,0.10608568,0.18084833
18,0.13527505,0.2829032
19,0.079409905,0.23209776
20,0.09740691,0.037759483
21,0.11605979,0.30686364
22,0.081946775,0.21872348
23,0.080150105,0.28436264
24,0.10289467,0.20915109
25,0.10720658,0.32708642
26,0.089674324,0.1326483
27,0.10038555,0.2612567
28,0.08620969,0.24336207
29,0.18016854,0.20006074
30,0.049074627,0.3310263
31,0.11380646,0.21088834
32,0.09607324,0.23645999
33,0.06568956,0.09220795
34,0.112481065,0.19450852
35,0.14196795,0.2496507
36,0.072291374,0.19301818
37,0.078954816,0.26189584
38,0.07376828,0.2609644
39,0.09883984,0.22214058
40,0.07261911,0.24140477
41,0.1648535,0.2846979
42,0.10691505,0.0032401702
43,0.09041571,0.10996117
44,0.115921,0.26811007
45,0.099742405,0.22810814
46,0.09744898,0.22425239
47,0.089684404,0.17426406
48,0.08803953,0.26409698
49,0.12650387,0.2720249
50,0.041486867,0.23206402
51,0.092893794,0.2600514
52,0.09114642,0.27699968
53,0.07342603,0.22695653
54,0.106405914,0.2024619
55,0.13536446,0.2416196
56,0.11781544,0.18790795
57,0.10908954,0.2137773
58,0.077558614,0.32541674
59,0.13162495,0.21471037
60,0.13973334,0.0039843842
61,0.11241478,0.29911438
62,0.08767875,0.11310319
63,0.08886079,0.26271293
64,0.16070694,0.23848553
65,0.09776418,0.19721095
66,0.09863649,0.301943
67,0.06974715,0.33848575
68,0.0966198,0.09667017
69,0.10958139,0.25314727
70,0.09496738,0.26214585
71,0.10258136,0.21418317
72,0.04778067,0.33022875
73,0.14292042,0.32756877
74,0.12312014,0.2952712
75,0.049733393,0.24588983
76,0.09375236,0.36864874
77,0.0647294,0.20811486
78,0.09984169,0.025075657
79,0.10115194,0.10520694
80,0.15450425,0.20452939
81,0.099976204,0.2730849
82,0.086009696,0.27906364
83,0.06649269,0.08916431
84,0.1740658,0.21005866
85,0.13005838,0.046849456
86,0.11489354,0.23052529
87,0.09536381,0.34261867
88,0.10136827,0.2558625
89,0.05324133,0.27666327
90,0.1296363,0.21429668
91,0.12779328,0.0025164157
92,0.09966002,0.0757513
93,0.06431422,0.24443828
94,0.17539632,0.3320424
95,0.06430732,0.13127896
96,0.07931934,0.20822945
97,0.11779269,0.30338386
98,0.11776188,0.2578698
99,0.055458568,0.2202464
100,0.10618676,0.29587892
101,0.083868265,0.3069381
102,0.13397628,0.19140102
103,0.0809365,0.28032902
104,0.08184439,0.11713562
105,0.12699607,0.0399821
106,0.117394604,0.32491705
107,0.14607514,0.010331064
108,0.15601185,0.30396613
109,0.080331914,0.22450966
110,0.087178215,0.25711414
111,0.09847966,0.3086812
112,0.12798484,0.26472384
113,0.06796312,0.15057068
114,0.051062413,0.24826293
115,0.08203771,0.31367946
116,0.098936155,0.2861786
117,0.052693013,0.15321435
118,0.0745815,0.10059098
119,0.044677168,0.32818252
120,0.12586999,0.033255246
121,0.06888806,0.27152237
122,0.14984359,0.21088535
123,0.103644215,0.15739739
124,0.13173032,0.09086052
125,0.113992184,0.32248747
126,0.13166426,0.20061228
127,0.08924571,0.23773733
128,0.069513,0.14517264
129,0.10531058,0.15347274
130,0.12700923,0.15534638
131,0.10083381,0.20844807
132,0.10594243,0.25684616
133,0.14249851,0.21585202
134,0.08044163,0.2533983
135,0.07078652,0.28775716
136,0.11806329,0.25572976
137,0.11647032,0.24739407
138,0.13239948,0.16791819
139,0.10532683,0.12469644
140,0.087629,0.27572486
141,0.118536554,0.11277257
142,0.074752375,0.070238605
143,0.15240245,0.04541458
144,0.14459635,0.19718106
145,0.12057215,0.25389215
146,0.09367206,0.30408934
147,0.12999144,0.26987028
148,0.0725616,0.29608747
149,0.038771816,0.29358026
150,0.109087534,0.106471494
151,0.07857382,0.17335744
152,0.12806033,0.32337117
153,0.07458807,0.20760761
154,0.050531246,0.25244462
155,0.11509205,0.22850055
156,0.0590331,0.24639148
157,0.13418224,0.3320245
158,0.15673499,0.19469582
159,0.14151727,0.4142648
160,0.05822322,0.304861
161,0.12580632,0.2427532
162,0.0948402,0.324235
163,0.055932466,0.15229198
164,0.11239937,0.33293745
165,0.09716435,0.1847033
166,0.10153577,0.03687932
167,0.104219966,0.0069732117
168,0.052676346,0.22068605
169,0.12224229,0.1781819
170,0.14068674,0.18160121
171,0.1783457,0.22710305
172,0.08748011,0.2375202
173,0.08980379,0.17140855
174,0.19378945,0.25821468
175,0.061972383,0.16742314
176,0.1505571,0.09359949
177,0.08147581,0.066525236
178,0.085422635,0.12139455
179,0.10251402,0.27525923
180,0.070104524,0.30589348
181,0.11687522,0.04881341
182,0.08290248,0.20444265
183,0.09572367,0.25643393
184,0.1726714,0.13959946
185,0.14315413,0.2815023
186,0.12752661,0.2049504
187,0.102242805,0.13738601
188,0.09072636,0.22206828
189,0.12225109,0.19851309
190,0.10594797,0.22557542
191,0.17058168,0.110084
192,0.100534216,0.26089725
193,0.09154294,0.25671473
194,0.13707373,0.35377952
195,0.09741477,0.15408821
196,0.08311057,0.2463854
197,0.08773677,0.13812234
198,0.11840408,0.17072837
199,0.10455571,0.2948202
200,0.07986003,0.11570204
201,0.07814916,0.31053087
202,0.09744882,0.358775
203,0.08760044,0.26644918
204,0.10824578,0.18078995
205,0.11453362,0.21448961
206,0.15429953,0.18217152
207,0.103435256,0.124275036
208,0.14950469,0.12794922
209,0.048809722,0.20594119
210,0.1306496,0.34673735
211,0.08504857,0.27434647
212,0.061092112,0.30296385
213,0.12367906,0.16529688
214,0.11912507,0.32319772
215,0.1020649,0.27184138
216,0.09020386,0.23382838
217,0.0010822066,0.24174619
218,0.15260766,0.29772595
219,0.08237859,0.24455644
220,0.074660674,0.273047
221,0.15554892,0.19986923
222,0.090889454,0.31703618
223,0.092695884,0.3201842
224,0.12900274,0.28939578
225,0.07901119,0.23397073
226,0.12441185,0.28995892
227,0.12364073,0.29206952
228,0.11518125,0.2149149
229,0.14096692,0.22619922
230,0.054655485,0.3102079
231,0.13381866,0.26195264
232,0.16715631,0.15295547
233,0.14223075,0.255013
234,0.121797,0.13061492
235,0.11817212,0.21938892
236,0.07234538,0.3200813
237,0.09816001,0.2700859
238,0.16878979,0.28188652
239,0.09671568,0.30824745
240,0.09932383,0.32623994
241,0.07589256,0.27153942
242,0.09276108,0.15326701
243,0.05380867,0.24609523
244,0.060989756,0.2089715
245,0.06997478,0.12505546
246,0.13877869,0.28904364
247,0.16038655,0.18119891
248,0.094751075,0.1410259
249,0.07781215,0.26391074
250,0.08482946,0.22969072
251,0.049602073,0.3486786
252,0.087094724,0.070753604
253,0.08151364,0.24408719
254,0.11753762,0.25634402
255,0.07276607,0.24091122
256,0.09356915,0.21876812
257,0.10626772,0.13327855
258,0.12751828,0.33627588
259,0.12254619,0.11655784
260,0.08350351,0.2443674
261,0.0830179,0.23572238
262,0.10689888,0.27571592
263,0.102674894,0.09132724
264,0.118491665,0.20173702
265,0.10678228,0.1150318
266,0.012194988,0.30187073
267,0.054901525,0.25844344
268,0.09042106,0.38389558
269,0.15632707,0.09296889
270,0.08331241,0.27477705
271,0.07479645,0.19667913
272,0.07780768,0.1702987
273,0.07788724,0.29289925
274,0.12223994,0.2148796
275,0.093213834,0.3442414
276,0.09428639,0.22223997
277,0.11330531,0.3207541
278,0.101629876,0.28617507
279,0.10295168,0.016390627
280,0.09733514,0.029304424
281,0.10524768,0.2792755
282,0.05428182,0.2468236
283,0.07275612,0.16243239
284,0.14838845,0.23764333
285,0.13572617,0.31994426
286,0.13450883,0.17272556
287,0.1293162,0.2613541
288,0.11073905,0.0122905
289,0.008119598,0.09043411
290,0.11396857,0.1707964
291,0.058941938,0.25961366
292,0.16027471,0.080037326
293,0.13587737,0.04711832
294,0.088656075,0.29649055
295,0.17271586,0.22412995
296,0.120672,0.36446887
297,0.14741644,0.25330734
298,0.14923786,0.19311571
299,0.1429347,0.3260265
300,0.13139968,0.18699421
301,0.046566803,0.22143102
302,0.12501928,0.22214499
303,0.07366533,0.21607421
304,0.13359666,0.33455884
305,0.076893285,0.1918953
306,0.039668977,0.2025771
307,0.099182375,0.11617149
308,0.11869717,0.28258768
309,0.06478279,0.28997493
310,0.14682423,0.1539452
311,0.06377534,0.13896182
312,0.11198481,0.2876705
313,0.04058169,0.26271406
314,0.121882975,0.19151309
315,0.074405365,0.12130204
316,0.11149832,0.23286945
317,0.10006917,0.21923466
318,0.13063218,0.26288193
319,0.07806662,0.19090223
320,0.0660344,0.3680174
321,0.11795897,0.34644488
322,0.12523916,0.22590317
323,0.06301298,0.28294086
324,0.084046535,0.18945052
325,0.12518254,0.16251935
326,0.12799695,0.23443462
327,0.0816768,0.209563
328,0.12728998,0.2251603
329,0.12790851,0.36343375
330,0.09790689,0.21939996
331,0.0803838,0.16463241
332,0.09744107,0.2820239
333,0.09977438,0.30986342
334,0.033427928,0.1306692
335,0.087778166,0.1956062
336,0.09197299,0.10025116
337,0.15135762,0.19999965
338,0.08024566,0.2486887
339,0.15739496,0.18023929
340,0.07337175,0.19529335
341,0.15623908,0.34934324
342,0.0799082,0.033056352
343,0.19130415,0.2494052
344,0.11017679,0.21377936
345,0.11831297,0.26630655
346,0.089737974,0.3112241
347,0.0487744,0.13488811
348,0.07264208,0.1948001
349,0.18358795,0.20163399
350,0.0771616,0.23919784
351,0.15980989,0.1586922
352,0.13675432,0.20498559
353,0.07946991,0.2021888
354,0.084275775,0.15889487
355,0.07118063,0.32902524
356,0.12106094,0.29348862
357,0.10314169,0.16691405
