num,Ctrl,VPA
1,0.18249397,0.10411245
2,0.06256488,0.1488504
3,0.06669211,0.110122204
4,0.08562599,0.1538389
5,0.07323571,0.15211125
6,0.1099392,0.11972221
7,0.07586819,0.117702216
8,0.15769653,0.1280745
9,0.043214627,0.08529748
10,0.2306185,0.074391484
11,0.05933995,0.08999477
12,0.08176505,0.12721393
13,0.11106719,0.16422915
14,0.11943004,0.0836524
15,0.07144434,0.123671345
16,0.1373362,0.17916973
17,0.13994046,0.08647896
18,0.11584604,0.18484887
19,0.1694398,0.15248214
20,0.05775771,0.2052226
21,0.044716142,0.18699956
22,0.12019855,0.110428154
23,0.14519507,0.10244769
24,0.0868406,0.14939511
25,0.12909965,0.11247239
26,0.06346636,0.078350574
27,0.058702838,0.100782864
28,0.09141635,0.11808085
29,0.10760576,0.17653888
30,0.16100226,0.13133645
31,0.11948557,0.083286576
32,0.11585298,0.13547155
33,0.10605711,0.06553171
34,0.114041865,0.14962612
35,0.08972583,0.09148023
36,0.1787326,0.124498285
37,0.10374433,0.094037935
38,0.15569882,0.15559618
39,0.12203163,0.07130906
40,0.118888974,0.15924136
41,0.10343402,0.19710048
42,0.07222478,0.108220495
43,0.058904648,0.11430499
44,0.096213356,0.13888036
45,0.14263852,0.1711412
46,0.082127005,0.14187741
47,0.100526616,0.09576687
48,0.11377966,0.099760115
49,0.087311536,0.15531155
50,0.14470136,0.18350844
51,0.10123049,0.15482113
52,0.08891638,0.11202607
53,0.100340605,0.10334311
54,0.18725966,0.16903798
55,0.14935306,0.12129469
56,0.12350515,0.18427862
57,0.07187315,0.074216165
58,0.12720332,0.14738224
59,0.14637025,0.1543681
60,0.072153606,0.1130879
61,0.06667944,0.093373135
62,0.088692695,0.13045509
63,0.11485699,0.12700927
64,0.10610524,0.12603286
65,0.16430455,0.18797027
66,0.14033625,0.12287095
67,0.07928019,0.14480591
68,0.08988369,0.13744266
69,0.06972453,0.15522982
70,0.14293943,0.18888319
71,0.07376287,0.1113963
72,0.102956206,0.09488882
73,0.06702737,0.12761505
74,0.062493533,0.11922629
75,0.06450527,0.11691709
76,0.07896959,0.087211706
77,0.18544482,0.08012116
78,0.0831997,0.1253416
79,0.1082931,0.26281658
80,0.11667923,0.059136886
81,0.05633047,0.24091296
82,0.16343653,0.1309704
83,0.102567784,0.09828367
84,0.05410307,0.12303449
85,0.14307162,0.13501148
86,0.04930012,0.16990632
87,0.13000275,0.077162564
88,0.17231652,0.08831077
89,0.12699087,0.13625781
90,0.06954434,0.06649522
91,0.075736195,0.14666471
92,0.09525485,0.13149099
93,0.03815605,0.08483947
94,0.10315262,0.07467872
95,0.123703875,0.12302051
96,0.11746293,0.1605184
97,0.0688761,0.07328916
98,0.1150809,0.11548139
99,0.10619735,0.16183405
100,0.12376577,0.16765302
101,0.17005695,0.24817061
102,0.0660363,0.12018807
103,0.098387696,0.12248625
104,0.05134096,0.10387981
105,0.15025115,0.13967533
106,0.12133696,0.15782772
107,0.07182926,0.14028394
108,0.063407354,0.12055325
109,0.108374976,0.15313719
110,0.167113,0.1375939
111,0.08076635,0.18046851
112,0.08991351,0.21761695
113,0.1309187,0.0824893
114,0.05700193,0.12536888
115,0.054916613,0.20901905
116,0.10240313,0.12278474
117,0.08548604,0.104711816
118,0.053580258,0.17046238
119,0.13151217,0.15992498
120,0.09114579,0.10541958
121,0.10912632,0.079339124
122,0.16895947,0.12536056
123,0.111100264,0.11688138
124,0.09931671,0.1411101
125,0.15934004,0.094195195
126,0.09892319,0.15654534
127,0.10272259,0.15403853
128,0.117008194,0.072554626
129,0.110050745,0.066660754
130,0.13199185,0.14358175
131,0.109586,0.1614313
132,0.09387613,0.1332191
133,0.09618315,0.1029199
134,0.06788785,0.12835345
135,0.11322544,0.111738995
136,0.097441755,0.1890928
137,0.08619767,0.08714227
138,0.07874542,0.16517052
139,0.08100432,0.24543764
140,0.07690177,0.1300343
141,0.10413265,0.11625064
142,0.12704344,0.07967052
143,0.05786104,0.206588
144,0.11803699,0.09145483
145,0.15528728,0.14795205
146,0.10166964,0.075840324
147,0.1089014,0.12933922
148,0.12238995,0.13961452
149,0.12920943,0.06213201
150,0.055776242,0.20954065
151,0.07559026,0.09713501
152,0.08673894,0.21276438
153,0.054289427,0.20136371
154,0.13069318,0.19007428
155,0.14345771,0.1412807
156,0.14704673,0.081542864
157,0.07005687,0.13233645
158,0.113206916,0.06863497
159,0.1469603,0.10593201
160,0.15033515,0.05436474
161,0.169795,0.12949924
162,0.077099524,0.06595411
163,0.1041022,0.07551096
164,0.11573701,0.16207664
165,0.059347037,0.117523864
166,0.13584973,0.08619133
167,0.12514752,0.10056565
168,0.1559615,0.06607048
169,0.112814866,0.032819875
170,0.053007357,0.17514026
171,0.09831247,0.07330699
172,0.142239,0.17245667
173,0.12637232,0.080623016
174,0.05395146,0.14797351
175,0.08366354,0.10871402
176,0.08238609,0.15885839
177,0.08146393,0.08805476
178,0.14360665,0.12660085
179,0.17953996,0.08289384
180,0.10492029,0.121859506
181,0.10835483,0.11685381
182,0.16153166,0.09362172
183,0.17460811,0.12378448
184,0.109146796,0.13481255
185,0.14190064,0.18059471
186,0.16904414,0.1151833
187,0.084801815,0.1455759
188,0.121859625,0.08858927
189,0.08269767,0.18671595
190,0.08416766,0.15485376
191,0.12769039,0.15795717
192,0.17630824,0.12416789
193,0.20105015,0.074860066
194,0.084637396,0.107234254
195,0.13515177,0.1439304
196,0.098621465,0.12199786
197,0.100938,0.1030519
198,0.105685554,0.121813424
199,0.15105458,0.20948483
200,0.14106494,0.122559614
201,0.11251806,0.079154454
202,0.08568225,0.09532046
203,0.16016218,0.11452512
204,0.10039993,0.1687052
205,0.09257844,0.117772736
206,0.02225457,0.10041136
207,0.10441686,0.09976826
208,0.12690501,0.104088604
209,0.078159206,0.07315625
210,0.086357154,0.1652741
211,0.13376151,0.11774056
212,0.1222645,0.16461459
213,0.15052873,0.09040382
214,0.1253618,0.13071066
215,0.13342617,0.081497855
216,0.075449534,0.12168625
217,0.06218409,0.109593906
218,0.15544131,0.2796359
219,0.055105958,0.15944324
220,0.043030348,0.09313868
221,0.10420979,0.107081175
222,0.10869976,0.16342823
223,0.09809467,0.16159232
224,0.077458665,0.058993407
225,0.0683063,0.17734382
226,0.07828576,0.21171905
227,0.10273607,0.11306039
228,0.08978064,0.13715057
229,0.16947027,0.12897427
230,0.13602959,0.110984266
231,0.14636669,0.12780857
232,0.10520069,0.14109829
233,0.14674027,0.15945193
234,0.09988495,0.19264857
235,0.078383364,0.10128861
236,0.059616305,0.100365974
237,0.07524126,0.14473203
238,0.092542894,0.11426423
239,0.058561675,0.07904806
240,0.033916045,0.09114044
241,0.053700987,0.21850258
242,0.10499153,0.07008241
243,0.12172501,0.30253723
244,0.15727583,0.16020669
245,0.09378164,0.11045943
246,0.071316496,0.073510386
247,0.07383227,0.09984191
248,0.078117885,0.18687443
249,0.1663927,0.11720426
250,0.12543467,0.28301755
251,0.08544265,0.16348211
252,0.110043034,0.09258177
253,0.11890169,0.22978109
254,0.13125753,0.13941497
255,0.10404989,0.16873452
256,0.10865547,0.08336064
257,0.1240255,0.084749915
258,0.10150227,0.09405601
259,0.10573661,0.10918811
260,0.06932994,0.16683698
261,0.1343478,0.1406515
262,0.06407068,0.084626116
263,0.036800284,0.09768725
264,0.070446074,0.06965649
265,0.15698676,0.19255035
266,0.09386226,0.09791841
267,0.095450275,0.15069151
268,0.085084856,0.1885635
269,0.09247906,0.10226569
270,0.05375906,0.12773702
271,0.07391357,0.15952095
272,0.109579936,0.09924944
273,0.080960155,0.0985264
274,0.1479821,0.10488037
275,0.11575935,0.086879626
276,0.11243924,0.15708767
277,0.13800558,0.0902415
278,0.10850092,0.102109775
279,0.113488436,0.19534217
280,0.18309683,0.11653125
281,0.07235377,0.060187027
282,0.11755243,0.11712364
283,0.114133485,0.16850196
284,0.08951495,0.09483368
285,0.09652319,0.102652185
286,0.105582975,0.15070747
287,0.08798999,0.06132995
288,0.11429094,0.06808719
289,0.11128349,0.08960118
290,0.073589146,0.18866315
291,0.12209825,0.07806684
292,0.15279989,0.10123412
293,0.10067008,0.099072516
294,0.09117114,0.21942142
295,0.11139783,0.08100749
296,0.089359805,0.09039611
297,0.10856409,0.08828392
298,0.14904368,0.10730586
299,0.16953504,0.096098825
300,0.10293069,0.16929218
301,0.011623508,0.058996398
302,0.0915217,0.13017637
303,0.124560036,0.078144886
304,0.08085485,0.07789027
305,0.15173434,0.08812014
306,0.069354,0.12418343
307,0.09774938,0.17953861
308,0.1338254,0.13695082
309,0.14444001,0.07026431
310,0.089568205,0.170198
311,0.104401715,0.11670971
312,0.08669412,0.11481083
313,0.13316154,0.21260387
314,0.08572157,0.107576266
315,0.1128274,0.1355685
316,0.052991997,0.11693853
317,0.19943236,0.07214334
318,0.07507756,0.14012589
319,0.043283537,0.15198348
320,0.0694568,0.08478722
321,0.11757021,0.099477775
322,0.10002157,0.11402849
323,0.06744766,0.110358715
324,0.08040401,0.05722266
325,0.11756696,0.08329136
326,0.07968385,0.17782955
327,0.09724458,0.11167029
328,0.123665884,0.12000703
329,0.078171514,0.11265099
330,0.063034855,0.09349468
331,0.107006595,0.13228734
332,0.07721994,0.15167426
333,0.112040006,0.07273194
334,0.09416427,0.13805911
335,0.1087553,0.14819928
336,0.11101824,0.13591057
337,0.090362,0.07104202
338,0.1656765,0.12225641
339,0.19703603,0.08026403
340,0.09250314,0.12157588
341,0.043657456,0.1911002
342,0.09701998,0.10346396
343,0.1484548,0.107473165
344,0.13407253,0.07126776
345,0.11321412,0.11956235
346,0.17474544,0.10157108
347,0.0476477,0.19417836
348,0.07619093,0.109175935
349,0.1274873,0.06873762
350,0.103762716,0.07039813
351,0.104571775,0.10846166
352,0.14606364,0.10706102
353,0.22521596,0.08517385
354,0.09156543,0.14264919
355,0.21805838,0.123263404
356,0.11393426,0.09365767
357,0.110034324,0.13274997
358,0.10299403,0.15753064
359,0.11581633,0.20033121
360,0.15842769,0.16117862
361,0.0984524,0.17289914
362,0.12684616,0.16777164
363,0.090244584,0.059580255
364,0.13080905,0.14297484
365,0.093332864,0.1800227
366,0.11493621,0.1654332
367,0.09884044,0.11243264
368,0.09264828,0.1040856
369,0.057202652,0.16133401
370,0.090118855,0.18302362
371,0.09250143,0.08624515
372,0.10410155,0.16300827
373,0.08165517,0.099493675
374,0.09569547,0.11045262
375,0.08793336,0.21413676
376,0.10893968,0.12929815
377,0.08618981,0.12927446
378,0.119179,0.08962633
379,0.06871029,0.1615385
380,0.10159653,0.14284109
381,0.1559282,0.13953213
382,0.111534975,0.16462947
383,0.069047175,0.12904571
384,0.044693217,0.23726319
385,0.079971574,0.18484426
386,0.06526701,0.08345908
387,0.1354669,0.14450972
388,0.11136446,0.15784785
389,0.19775766,0.15026009
390,0.08444504,0.114090145
391,0.16721097,0.115213476
392,0.071725965,0.20581882
393,0.13698071,0.14162682
394,0.14669342,0.12663256
395,0.13479717,0.080677725
396,0.15812556,0.07858776
397,0.16221103,0.10070706
398,0.032164223,0.103353426
399,0.13563113,0.16805708
400,0.114575826,0.10452112
401,0.11753845,0.1201661
402,0.10761271,0.12968732
403,0.05857808,0.12706047
404,0.057265013,0.12961426
405,0.111226626,0.12305386
406,0.13430403,0.12291913
407,0.09649318,0.10749339
408,0.06509501,0.11235906
409,0.09502688,0.15826881
410,0.10341943,0.16120385
411,0.103583455,0.17716716
412,0.14285868,0.05378201
413,0.12372865,0.09426503
414,0.052370887,0.16452362
415,0.11565045,0.15906912
416,0.13178113,0.12709849
417,0.088845104,0.13021885
418,0.09651531,0.13970326
419,0.13804832,0.13111794
420,0.13166831,0.12262479
421,0.07766212,0.14282465
422,0.1469819,0.10672051
423,0.12868361,0.17233242
424,0.11892925,0.14975369
425,0.10465012,0.14798187
426,0.104018025,0.19146037
427,0.098739974,0.13195843
428,0.11610307,0.089811906
429,0.14227517,0.16223174
430,0.07828061,0.082288556
431,0.08160122,0.20927508
432,0.07969049,0.10053506
433,0.12459437,0.16760908
434,0.16093509,0.116285294
435,0.08449672,0.076789
436,0.09087688,0.15551186
437,0.058232628,0.071620494
438,0.09623542,0.15148196
439,0.12334993,0.087117426
440,0.11589005,0.09606601
441,0.113206096,0.14746304
442,0.16202246,0.1858526
443,0.11250094,0.10547061
444,0.12121876,0.1392383
445,0.10719033,0.20343219
446,0.16234642,0.14717546
447,0.10896929,0.13933167
448,0.087393045,0.12822211
449,0.07589784,0.10003904
450,0.12517807,0.10595881
451,0.11263488,0.08336717
452,0.0761004,0.08268885
453,0.12670653,0.2367306
454,0.12139776,0.096484765
455,0.074217126,0.13639332
456,0.09147564,0.11727457
457,0.060857043,0.07815824
458,0.11894585,0.094773956
459,0.1491481,0.1175666
460,0.11328212,0.13934493
461,0.1290674,0.1344376
462,0.11667925,0.17324945
463,0.14031607,0.18849711
464,0.086863615,0.13250156
465,0.13421126,0.17404793
466,0.15756333,0.054507807
467,0.032219402,0.12902135
468,0.0830375,0.082355134
469,0.108790234,0.1415461
470,0.1371176,0.07413673
471,0.10671573,0.19466577
472,0.124666415,0.19539611
473,0.14257517,0.10613724
474,0.11991979,0.12383475
475,0.17307054,0.03455474
476,0.1188028,0.13904497
477,0.065226234,0.10202029
478,0.10079057,0.18773858
479,0.07608271,0.14420037
480,0.070290655,0.06031556
481,0.08787931,0.09681364
482,0.08541695,0.12784828
483,0.10057461,0.11354247
484,0.06913633,0.0672154
485,0.09864517,0.13731226
486,0.10477573,0.12733902
487,0.09734875,0.13258362
488,0.09005001,0.09591442
