num,Ctrl,VPA
1,0.075479545,0.2341886
2,0.16602126,0.2348609
3,0.18296163,0.21893036
4,0.21252386,0.26583636
5,0.13207269,0.15177333
6,0.23646934,0.24704312
7,0.17641343,0.26593038
8,0.1721663,0.17009252
9,0.10484525,0.24170958
10,0.1388751,0.19556668
11,0.19837776,0.30496174
12,0.20253606,0.23470944
13,0.14762,0.21708255
14,0.17675209,0.19559263
15,0.22482549,0.2856102
16,0.15820107,0.16263539
17,0.21383171,0.23891425
18,0.22190888,0.13019753
19,0.2095102,0.33586884
20,0.15072624,0.31662953
21,0.21378058,0.21562576
22,0.19939487,0.2401723
23,0.24692053,0.12745675
24,0.17786863,0.16776645
25,0.20504995,0.1989633
26,0.17608725,0.08617609
27,0.16464847,0.31066483
28,0.21440372,0.25506967
29,0.24322194,0.280165
30,0.28513673,0.25256422
31,0.20576489,0.20661585
32,0.15662605,0.23713998
33,0.14755954,0.15295206
34,0.16942902,0.29513872
35,0.22422074,0.19887328
36,0.17959955,0.27617425
37,0.17995805,0.26209655
38,0.1370447,0.29486686
39,0.18525946,0.22431062
40,0.14199199,0.14339685
41,0.18011093,0.3128082
42,0.14285734,0.23713355
43,0.15442069,0.3080281
44,0.25074473,0.17390396
45,0.126352,0.12546237
46,0.20323648,0.27774936
47,0.20794225,0.19839616
48,0.20012937,0.28426984
49,0.16155593,0.15081123
50,0.18566577,0.25914845
51,0.16157766,0.1975608
52,0.14177454,0.16770327
53,0.19562723,0.27701566
54,0.13481936,0.18762147
55,0.145691,0.20788015
56,0.20444223,0.38223168
57,0.14173943,0.25983062
58,0.15880527,0.24592066
59,0.17242788,0.14889015
60,0.18995583,0.21424037
61,0.17522313,0.16898942
62,0.18757856,0.29643556
63,0.143798,0.142398
64,0.13992548,0.117951564
65,0.15691496,0.22841431
66,0.16616693,0.20183176
67,0.10316468,0.24601997
68,0.1699859,0.2782619
69,0.15692942,0.10483505
70,0.1906307,0.2129139
71,0.14088495,0.3085119
72,0.12253212,0.30612805
73,0.2878397,0.27909654
74,0.26174155,0.17532669
75,0.12955108,0.2648971
76,0.2163063,0.26862946
77,0.15611042,0.21318279
78,0.1405692,0.22195925
79,0.18835765,0.21111953
80,0.17391162,0.2817067
81,0.14556988,0.2864666
82,0.19457534,0.17225301
83,0.15148577,0.20315075
84,0.2462464,0.28701478
85,0.1819952,0.22900414
86,0.21173011,0.17599228
87,0.16615248,0.31278285
88,0.27576032,0.22984418
89,0.16628094,0.25542814
90,0.13836299,0.29157934
91,0.15215486,0.25669262
92,0.09582213,0.21148497
93,0.1541978,0.19809404
94,0.22864537,0.2796613
95,0.21157849,0.099882364
96,0.19794478,0.26986855
97,0.15580289,0.27329457
98,0.14736195,0.28499445
99,0.13820076,0.15233609
100,0.15540978,0.1950896
101,0.1337941,0.21440196
102,0.15924594,0.26421684
103,0.13939351,0.09443107
104,0.17084065,0.20736273
105,0.16631034,0.2575946
106,0.21379893,0.3488561
107,0.1611385,0.2911999
108,0.23846869,0.25707546
109,0.18576875,0.25205985
110,0.19439413,0.15147884
111,0.13435568,0.21810438
112,0.1767514,0.22784816
113,0.16716783,0.20924638
114,0.17771468,0.16302699
115,0.14211603,0.24299026
116,0.16624087,0.12816092
117,0.14977849,0.19360483
118,0.15315737,0.11914288
119,0.1392883,0.2384425
120,0.2582421,0.16913122
121,0.25893688,0.25899535
122,0.0629022,0.28026202
123,0.1798826,0.18571368
124,0.19789949,0.28469208
125,0.26591688,0.26262823
126,0.18704768,0.23556739
127,0.1705317,0.24257334
128,0.13936125,0.21188256
129,0.14171347,0.20827039
130,0.15680768,0.28132266
131,0.18913811,0.21693867
132,0.15518674,0.24283093
133,0.17889483,0.21716504
134,0.18550903,0.26437733
135,0.15850848,0.1831971
136,0.15706599,0.22551471
137,0.17513323,0.24610996
138,0.19874117,0.17919464
139,0.17862886,0.28463012
140,0.22936447,0.12081166
141,0.1311332,0.2866355
142,0.19351216,0.25077653
143,0.13348784,0.29601902
144,0.14142567,0.18976766
145,0.35576397,0.20136097
146,0.12566099,0.2492999
147,0.18377529,0.1773548
148,0.26441503,0.14757617
149,0.11380396,0.19367367
150,0.21987557,0.27987432
151,0.15514384,0.19515671
152,0.15981407,0.32121092
153,0.17398052,0.26803908
154,0.22609118,0.24701133
155,0.112795234,0.23926665
156,0.26939425,0.17211188
157,0.12599511,0.23726074
158,0.20518926,0.21498899
159,0.19861826,0.19064912
160,0.2255759,0.29034066
161,0.15601556,0.12715007
162,0.16848172,0.28083614
163,0.13677074,0.23687312
164,0.1735603,0.2300814
165,0.14733048,0.20592923
166,0.14080852,0.19282433
167,0.20243768,0.12667248
168,0.14004928,0.26805264
169,0.17137659,0.17936055
170,0.15845111,0.27076498
171,0.18187231,0.220602
172,0.18991277,0.14486305
173,0.19693655,0.12519203
174,0.21116553,0.17487969
175,0.22930317,0.1998778
176,0.25526714,0.22464257
177,0.17190821,0.20601179
178,0.21261048,0.19942558
179,0.15380295,0.2849781
180,0.13749199,0.22909948
181,0.20285632,0.2761119
182,0.13139246,0.22988214
183,0.18430464,0.24586616
184,0.15680747,0.14700145
185,0.2571105,0.16896833
186,0.16111481,0.2030248
187,0.12914465,0.11941165
188,0.17714994,0.2683621
189,0.33796686,0.1975187
190,0.14221206,0.15954567
191,0.20115776,0.24574383
192,0.22177348,0.19497462
193,0.15370786,0.1381579
194,0.15089113,0.30502117
195,0.1889006,0.16141734
196,0.13635008,0.21168768
197,0.10266159,0.33352628
198,0.16174814,0.17226255
199,0.18686244,0.2169226
200,0.17177148,0.23117222
201,0.13159236,0.18030731
202,0.1340603,0.3054685
203,0.15291649,0.26429725
204,0.3011289,0.3847267
205,0.22021925,0.14130175
206,0.24969065,0.21808742
207,0.18082711,0.1565948
208,0.1435614,0.23221457
209,0.21902587,0.17673115
210,0.19799356,0.23327644
211,0.19952892,0.15587923
212,0.14319882,0.1821217
213,0.14384149,0.18621962
214,0.16509491,0.15642866
215,0.184433,0.109922186
216,0.13127278,0.17073958
217,0.18306687,0.24575661
218,0.15865359,0.27538207
219,0.19144757,0.16524002
220,0.14993347,0.32941368
221,0.16667607,0.17318001
222,0.21750247,0.3191482
223,0.16389482,0.16965638
224,0.25922883,0.26391438
225,0.17571603,0.15137425
226,0.12036532,0.22483793
227,0.16138792,0.30628
228,0.14481373,0.21775039
229,0.1718092,0.2970596
230,0.22232904,0.28629044
231,0.19176878,0.23862743
232,0.14112905,0.2230511
233,0.20179836,0.27322084
234,0.14842814,0.26616082
235,0.19314837,0.3208994
236,0.20204818,0.25861633
237,0.13168909,0.2651519
238,0.17401284,0.21630941
239,0.16124721,0.24653119
240,0.14211838,0.27300414
241,0.14302531,0.2836511
242,0.14842641,0.17660432
243,0.20497599,0.2052174
244,0.18888973,0.19536746
245,0.1725077,0.28724566
246,0.15938202,0.1883998
247,0.1551437,0.19201463
248,0.17494763,0.21100004
249,0.13819256,0.21506312
250,0.16954224,0.14545141
251,0.17675085,0.22044188
252,0.12767026,0.13936271
253,0.16708283,0.26505125
254,0.24139883,0.14313714
255,0.16596267,0.18128449
256,0.17172605,0.2716535
257,0.15484172,0.27674407
258,0.16871552,0.22498843
259,0.15569898,0.12187077
260,0.18537888,0.14505182
261,0.17343874,0.17418617
262,0.1663407,0.19737196
263,0.2361313,0.31647623
264,0.18289809,0.27388453
265,0.21448995,0.19928469
266,0.19131134,0.25890037
267,0.30345607,0.1592821
268,0.13611734,0.30111778
269,0.15341207,0.17634965
270,0.18720162,0.18556444
271,0.20460637,0.14404593
272,0.13016365,0.24182612
273,0.16481492,0.1575989
274,0.26527628,0.22518286
275,0.18780212,0.25577107
276,0.16249621,0.2770631
277,0.1868699,0.17771724
278,0.18337236,0.3385241
279,0.14587773,0.18804765
280,0.23732692,0.1433014
281,0.15332335,0.2281262
282,0.15806891,0.22958171
283,0.14834625,0.1786997
284,0.15819705,0.18716429
285,0.30640692,0.10664408
286,0.18365702,0.19374822
287,0.18875419,0.13314414
288,0.16446331,0.19704187
289,0.18438645,0.2605701
290,0.15851164,0.117727704
291,0.1675188,0.19513153
292,0.17352705,0.16903883
293,0.17257693,0.18916944
294,0.20479083,0.23336996
295,0.21584788,0.1804281
296,0.25429934,0.16443177
297,0.19748046,0.25614092
298,0.19527824,0.21798697
299,0.17350154,0.23085955
300,0.18382806,0.23130602
301,0.16643351,0.20880757
302,0.21724172,0.24468426
303,0.15670538,0.142
304,0.2704063,0.32110125
305,0.20370683,0.20470616
306,0.13603169,0.2452761
307,0.2056989,0.19834557
308,0.20350127,0.17363474
309,0.2154668,0.34630525
310,0.1279045,0.22106108
311,0.21645631,0.20096104
312,0.1705149,0.19798003
313,0.20439997,0.2064769
314,0.12699728,0.26297858
315,0.16615435,0.17901066
316,0.13325612,0.19825181
317,0.16893962,0.24593529
318,0.14515847,0.27317798
319,0.1737004,0.21411815
320,0.1502451,0.30501258
321,0.20112506,0.28719565
322,0.21011329,0.23849332
323,0.14465857,0.18748207
324,0.16588481,0.24682303
325,0.24473524,0.23450129
326,0.16274269,0.27772954
327,0.25528225,0.13422608
328,0.14792609,0.18384552
329,0.20270252,0.14760171
330,0.19003226,0.15001401
331,0.18837358,0.2435842
332,0.16623937,0.21894784
333,0.14693725,0.15338778
334,0.18340424,0.1987555
335,0.08565575,0.16809624
336,0.15588798,0.25824478
337,0.16470382,0.16541882
338,0.19684273,0.15770948
339,0.16932733,0.23753501
340,0.19621189,0.21109626
341,0.115058824,0.30782834
342,0.23231709,0.24360129
343,0.1379236,0.32575506
344,0.29609522,0.1341718
345,0.14659347,0.27404106
346,0.1646022,0.20717008
347,0.22568955,0.20001249
348,0.13053398,0.2100996
349,0.1567685,0.19715719
350,0.21480009,0.24644627
351,0.14942291,0.20316383
352,0.22454597,0.14387949
353,0.19201045,0.17744146
354,0.1582539,0.21588007
355,0.19006324,0.150248
356,0.16559982,0.20165704
