num,Ctrl,VPA
1,0.28256437,0.21428432
2,0.12494171,0.30634138
3,0.18016395,0.20783298
4,0.13330461,0.24930105
5,0.14696056,0.3017301
6,0.1972041,0.22046016
7,0.17935683,0.19858003
8,0.22782944,0.22592722
9,0.124276415,0.20874716
10,0.32420063,0.16401471
11,0.12489974,0.18257664
12,0.13023272,0.23383242
13,0.18616101,0.27019143
14,0.19236565,0.17244625
15,0.1635086,0.22071095
16,0.21339178,0.27430516
17,0.21754988,0.20267427
18,0.2136634,0.2735843
19,0.22250861,0.30453476
20,0.14755155,0.34413332
21,0.10146952,0.3163859
22,0.22763205,0.24744533
23,0.19238631,0.20182054
24,0.14574844,0.24859816
25,0.19185872,0.20069142
26,0.1573836,0.19736421
27,0.12896399,0.20439082
28,0.14478588,0.25967956
29,0.14900713,0.29991972
30,0.21691391,0.22876838
31,0.18393421,0.192361
32,0.15793777,0.2203636
33,0.16103224,0.16550857
34,0.18845508,0.3127277
35,0.24964134,0.18135047
36,0.2411389,0.24583803
37,0.17718948,0.17814738
38,0.27074555,0.28541937
39,0.24065912,0.16209057
40,0.17064746,0.2891474
41,0.2005775,0.31681636
42,0.17469499,0.23666158
43,0.10567424,0.2612989
44,0.1594255,0.21697275
45,0.20972145,0.2678155
46,0.21263775,0.25629333
47,0.14313622,0.20294397
48,0.16771667,0.18512204
49,0.14754988,0.27407312
50,0.24200319,0.36842683
51,0.14505443,0.25737038
52,0.25623992,0.21410228
53,0.19082934,0.18889832
54,0.24452662,0.24762444
55,0.20093803,0.2318755
56,0.20595363,0.30070758
57,0.13380054,0.15762019
58,0.179517,0.27471226
59,0.2529317,0.27809626
60,0.11843668,0.19516404
61,0.13831902,0.19465284
62,0.1460173,0.22955588
63,0.17186674,0.27929637
64,0.18060802,0.22932744
65,0.24808374,0.2862414
66,0.20670186,0.2347013
67,0.112353995,0.27728978
68,0.15941921,0.342652
69,0.17382775,0.25976643
70,0.21343088,0.32373652
71,0.1756159,0.22461571
72,0.16932179,0.20790772
73,0.108759955,0.21534432
