num,Ctrl,VPA
1,0.13068673,0.20396766
2,0.10165035,0.14167516
3,0.14835492,0.14947785
4,0.096457176,0.122872345
5,0.14827815,0.121461526
6,0.13852416,0.2246592
7,0.16784953,0.16622415
8,0.12461442,0.14708939
9,0.11691121,0.12143033
10,0.10012338,0.11649811
11,0.13198523,0.11148277
12,0.112167805,0.11416052
13,0.15947211,0.15222979
14,0.098318405,0.101173155
15,0.110454515,0.1536578
16,0.095610484,0.13591918
17,0.16289364,0.15984614
18,0.13450375,0.14920214
19,0.1170907,0.11527676
20,0.16931577,0.12788557
21,0.09864594,0.15194926
22,0.14837345,0.1442837
23,0.054132037,0.16790798
24,0.17880063,0.09659405
25,0.15063176,0.14651732
26,0.10802336,0.06283761
27,0.12219136,0.111444965
28,0.08679167,0.10667246
29,0.11343035,0.15600827
30,0.18940015,0.12020737
31,0.15305966,0.12292335
32,0.14257987,0.23587784
33,0.18929635,0.16335109
34,0.11353865,0.05795533
35,0.15123983,0.112574205
36,0.082561195,0.22226074
37,0.14038791,0.16694798
38,0.16427386,0.10021129
39,0.10053002,0.1361923
40,0.06364055,0.2519253
41,0.15508173,0.20380887
42,0.13059776,0.10648995
43,0.11479948,0.15559691
44,0.15656412,0.16826306
45,0.12801169,0.16037622
46,0.08665804,0.18945558
47,0.07328403,0.16993172
48,0.11578239,0.19589204
49,0.157885,0.15566006
50,0.13217452,0.13548113
51,0.18783106,0.121976115
52,0.13961573,0.14814703
53,0.097731695,0.204481
54,0.12935807,0.113849156
55,0.11534339,0.104199566
56,0.20784512,0.21334709
57,0.14738795,0.16851878
58,0.12748745,0.114804365
59,0.16601582,0.15671508
60,0.09430543,0.11418191
61,0.14530955,0.17265187
62,0.14697126,0.15622072
63,0.12153723,0.14379522
64,0.089443535,0.11916745
65,0.12298236,0.1459296
66,0.13017175,0.1395551
67,0.14993948,0.13841505
68,0.1372657,0.12993701
69,0.13503894,0.17032376
70,0.10111155,0.112969816
71,0.11524804,0.20929228
72,0.16259815,0.19903295
73,0.20503415,0.15799028
74,0.16479792,0.13852926
75,0.11170584,0.24554665
76,0.11810188,0.13017428
77,0.10766078,0.15941443
78,0.14717382,0.12662195
79,0.14071862,0.15262431
80,0.12586294,0.17227073
81,0.11034174,0.12633345
82,0.20882164,0.16697592
83,0.06347094,0.16850822
84,0.1457275,0.19370832
85,0.13944216,0.104193784
86,0.15558419,0.15160652
87,0.12360984,0.1704762
88,0.09409336,0.16209707
89,0.18816927,0.15835215
90,0.11404592,0.22388817
91,0.14142211,0.06610861
92,0.16096808,0.16896568
93,0.102495104,0.110897645
94,0.17710382,0.13282998
95,0.11741471,0.1312319
96,0.1569256,0.18608676
97,0.14877145,0.22385208
98,0.16602996,0.10709333
99,0.11163206,0.16905156
100,0.13378125,0.10883448
101,0.122761674,0.09761236
102,0.15309028,0.14788151
103,0.13163568,0.15131944
104,0.13907395,0.20577617
105,0.14800285,0.223595
106,0.13436508,0.21141817
107,0.15298462,0.10656851
108,0.22369598,0.138387
109,0.09163035,0.17957923
110,0.05673687,0.16246176
111,0.11844782,0.14485347
112,0.12770997,0.036769245
113,0.10887471,0.18820284
114,0.09056474,0.13217327
115,0.10808032,0.19912004
116,0.11858313,0.09930862
117,0.061326664,0.18240885
118,0.107728004,0.28692743
119,0.050542425,0.096261494
120,0.13955064,0.19903885
121,0.056485407,0.23883845
122,0.1682153,0.19197913
123,0.1719153,0.16488338
124,0.14818569,0.1251563
125,0.17687063,0.15753162
126,0.1726898,0.1511661
127,0.14304523,0.045247916
128,0.13482623,0.09900169
129,0.13452706,0.101889595
130,0.20242487,0.15520816
131,0.14416438,0.1304542
132,0.104768194,0.114500925
133,0.16050419,0.14095248
134,0.15027687,0.117565155
135,0.13628742,0.1321191
136,0.09665373,0.19665973
137,0.15089433,0.17280264
138,0.15215698,0.18356931
139,0.14242141,0.121109486
140,0.15855019,0.115731716
141,0.10512332,0.1269138
142,0.15310529,0.15068303
143,0.1329989,0.22737604
144,0.15270151,0.15780601
145,0.16029081,0.2609774
146,0.15080112,0.20071566
147,0.09023633,0.18677552
148,0.1727159,0.1763165
149,0.15774968,0.144523
150,0.12541455,0.09722428
151,0.12368498,0.17765284
152,0.10863897,0.14407754
153,0.12687291,0.18998791
154,0.09880633,0.23437795
155,0.096227616,0.096803755
156,0.1232649,0.17171866
157,0.1234265,0.13067262
158,0.18528211,0.18108015
159,0.1495685,0.18070897
160,0.10564812,0.11281247
161,0.06678514,0.2516628
162,0.12157583,0.14592254
163,0.14552332,0.22601505
164,0.080895625,0.13829415
165,0.15909268,0.13734873
166,0.109452344,0.10496976
167,0.14760678,0.20253466
168,0.14659627,0.12703252
169,0.07356823,0.110579774
170,0.10231125,0.1268752
171,0.17374143,0.11593661
172,0.276898,0.062213752
173,0.11039722,0.20711495
174,0.0831972,0.12301097
175,0.215,0.07556577
176,0.114250936,0.19866914
177,0.14785174,0.1928597
178,0.07699246,0.16124971
179,0.18370421,0.0594901
180,0.10751002,0.15706646
181,0.08086956,0.11028226
182,0.14652674,0.2110268
183,0.1786705,0.17512637
184,0.08793458,0.15679209
185,0.17357954,0.12942065
186,0.13339505,0.12258025
187,0.15859759,0.14944167
188,0.123925194,0.106570065
189,0.18523763,0.09457666
190,0.17016867,0.1735761
191,0.12368229,0.10011356
192,0.15183753,0.10153818
