num,Ctrl,VPA
1,0.26154923,0.2103144
2,0.18024412,0.15196039
3,0.14123657,0.24088961
4,0.25350925,0.17890906
5,0.17165554,0.108405635
6,0.24102962,0.25766018
7,0.13931076,0.2448381
8,0.24201496,0.20656702
9,0.11872536,0.15228151
10,0.3134572,0.21393743
11,0.19257402,0.18827869
12,0.23132233,0.15432183
13,0.26715434,0.24009196
14,0.22412181,0.17296602
15,0.17219236,0.23064631
16,0.24208601,0.22419891
17,0.22188827,0.14437172
18,0.23794343,0.16708186
19,0.3121958,0.18516624
20,0.1330206,0.21510117
21,0.21705689,0.17197558
22,0.2194757,0.1637502
23,0.25822267,0.30360854
24,0.19902305,0.19736217
25,0.24372007,0.19749507
26,0.14306735,0.13077502
27,0.15204367,0.19352944
28,0.21618642,0.14660317
29,0.23832257,0.23593433
30,0.24594012,0.27185088
31,0.2550754,0.19342142
32,0.23344438,0.19759037
33,0.2533635,0.16564092
34,0.22057852,0.16150488
35,0.13310033,0.2366997
36,0.3477207,0.17295566
37,0.21030822,0.24982725
38,0.2232561,0.18102579
39,0.20447305,0.23715766
40,0.26804888,0.20628637
41,0.24787259,0.20996827
42,0.15757564,0.18289444
43,0.24487,0.2060318
44,0.14499158,0.27871922
45,0.24270941,0.19908126
46,0.16608085,0.1696065
47,0.29070488,0.19649546
48,0.33292308,0.20873974
49,0.19785415,0.24261938
50,0.21259102,0.15472393
51,0.2785325,0.22886762
52,0.12580888,0.2482059
53,0.21443893,0.25897795
54,0.31858975,0.2231277
55,0.21173145,0.2428554
56,0.24949278,0.24206433
57,0.1822502,0.25217015
58,0.2546959,0.17521687
59,0.22527285,0.21143106
60,0.19027728,0.104988076
61,0.16101979,0.22261463
62,0.19548401,0.21293363
63,0.2493699,0.1517991
64,0.1946807,0.24885549
65,0.26744562,0.24440773
66,0.22117914,0.20834297
67,0.2431939,0.22550732
68,0.1995074,0.13908333
69,0.17101598,0.27410123
70,0.24893731,0.19921365
71,0.18128932,0.23484987
72,0.21000215,0.19840436
73,0.21133177,0.22618051
74,0.16314475,0.1948556
75,0.19847374,0.24154483
76,0.18069813,0.29094613
77,0.25775218,0.26645368
78,0.16730443,0.20937955
79,0.23886032,0.24963684
80,0.29598367,0.109923966
81,0.1450407,0.20008166
82,0.21945585,0.28017288
83,0.2784976,0.22066966
84,0.14498273,0.2220064
85,0.3329076,0.240575
86,0.2238408,0.19262682
87,0.21670596,0.15069571
88,0.25994658,0.21125506
89,0.23881964,0.18366076
90,0.15475719,0.20696537
91,0.19234224,0.17664912
92,0.24559954,0.22147939
93,0.09491519,0.20927268
94,0.24625061,0.24235868
95,0.29249611,0.2657238
96,0.21699911,0.15426776
97,0.18991145,0.17299494
98,0.2199419,0.26509804
99,0.20403008,0.2522261
100,0.239361,0.20750766
101,0.27749452,0.2941819
102,0.20452559,0.2443571
103,0.19335477,0.22564647
104,0.19429293,0.160741
105,0.26024845,0.21659811
106,0.18866788,0.19854918
107,0.17212081,0.2239565
108,0.1748267,0.1024882
109,0.2184437,0.1771816
110,0.2905099,0.26349163
111,0.14934778,0.22838786
112,0.17442748,0.23534471
113,0.25206423,0.15834206
114,0.11763685,0.2681989
115,0.14634348,0.22448131
116,0.17484424,0.16742101
117,0.15234233,0.09682829
118,0.14264709,0.19530132
119,0.2536227,0.2505896
120,0.18156847,0.17279345
121,0.26708022,0.11997013
122,0.29497975,0.16672212
123,0.2316941,0.14202645
124,0.2287465,0.22918823
125,0.32355174,0.24797721
126,0.22607228,0.21602151
127,0.20056808,0.1692872
128,0.18703097,0.19945551
129,0.21189441,0.1775532
130,0.21961357,0.18651962
131,0.2116908,0.2049554
132,0.19108012,0.24186267
133,0.22638968,0.22591536
134,0.1716497,0.17768826
135,0.27712488,0.24091074
136,0.2296399,0.24574243
137,0.18830071,0.25634897
138,0.19566469,0.19522418
139,0.14083166,0.26593792
140,0.2031587,0.2267772
141,0.24943711,0.21231623
142,0.2696944,0.31287837
143,0.1874222,0.20010376
144,0.24305245,0.14679548
145,0.27411824,0.23455653
146,0.21314736,0.19712491
147,0.20275764,0.23059173
148,0.2381796,0.25652054
149,0.25284576,0.1965787
150,0.15585841,0.265292
151,0.13821323,0.17977694
152,0.19926064,0.29707265
153,0.12349826,0.23225504
154,0.29280633,0.26074886
155,0.23780918,0.23608081
156,0.24956463,0.19794056
157,0.1280061,0.20402272
158,0.2109484,0.23252392
159,0.26437718,0.13233739
160,0.21379659,0.17121047
161,0.3085428,0.23444739
162,0.17685516,0.17990914
163,0.21388836,0.20174798
164,0.22672895,0.13612263
165,0.12994187,0.21691929
166,0.19685113,0.17213577
167,0.2461715,0.21524605
168,0.31780738,0.14469138
169,0.20169279,0.07754
170,0.14204946,0.21101557
171,0.23310956,0.2331283
172,0.19533703,0.2518228
173,0.24255823,0.23980759
174,0.12737262,0.21088505
175,0.27291536,0.16238178
176,0.15922171,0.18464474
177,0.16661155,0.13798809
178,0.2261686,0.22502431
179,0.28297898,0.18365191
180,0.19232243,0.15813789
181,0.2282808,0.20490374
182,0.23721302,0.18563838
183,0.3036605,0.17919825
184,0.24024384,0.19398047
185,0.27810135,0.17889743
186,0.30294803,0.16853897
187,0.18524633,0.25689477
188,0.23315455,0.16149308
189,0.164811,0.16984716
190,0.17426875,0.1860627
191,0.28714532,0.18686873
192,0.26354817,0.22522064
193,0.35573512,0.12904099
194,0.16293718,0.2382251
195,0.1753652,0.21560638
196,0.20660484,0.18965842
197,0.2691795,0.13853239
198,0.16533776,0.19660938
199,0.2119802,0.21337324
200,0.24448107,0.20354432
201,0.22191407,0.14130767
202,0.24543546,0.1533676
203,0.24471018,0.23102361
204,0.2324324,0.19534603
205,0.17509791,0.24768843
206,0.049245916,0.20026492
207,0.28415993,0.190516
208,0.22834124,0.16868994
209,0.14673655,0.2073166
210,0.2558671,0.23095825
211,0.3036143,0.1728525
212,0.2743584,0.18581751
213,0.23671767,0.20965654
214,0.2098676,0.25108445
215,0.28832063,0.25359663
216,0.1579142,0.15408382
217,0.22373362,0.20574564
218,0.2575712,0.2101622
219,0.22982322,0.26562577
220,0.23015746,0.15334956
221,0.2481483,0.2388612
222,0.23397127,0.22362055
223,0.29191482,0.23155905
224,0.21854879,0.28638834
225,0.17576797,0.21517701
226,0.18843311,0.23364516
227,0.14256884,0.1424047
228,0.22918928,0.26557747
229,0.2782862,0.26753888
230,0.24680212,0.18960631
231,0.2507264,0.21290465
232,0.2936955,0.23449954
233,0.28097463,0.24851257
234,0.19591135,0.18774123
235,0.22581714,0.16343123
236,0.20208715,0.24796242
237,0.191876,0.22561602
238,0.22635137,0.22332826
239,0.14527749,0.23535812
240,0.12409117,0.13524307
241,0.18962607,0.20625597
242,0.26163787,0.19150198
243,0.20863315,0.20792903
244,0.20059851,0.18238884
245,0.21629852,0.12975533
246,0.13876013,0.27499115
247,0.12534256,0.18056794
248,0.17431556,0.2488875
249,0.28961146,0.24903993
250,0.24841802,0.2323621
251,0.17153877,0.21085788
252,0.21273483,0.22953655
253,0.23077177,0.19318067
254,0.2619381,0.19580168
255,0.19584316,0.20145683
